,Critical Cases,Diseased,Infected asymptomatic,Infected symptomatic,Isolated,Recovered,Susceptible,accumulated cases,case fatality rate,contact infectivity asymptomatic self,contact infectivity quarantine self,contact infectivity symptomatic self,contacts per person symptomatic self,critical cases recovery rate,death rate,deimmunization rate,fraction of symptomatic,incidence per 100000,infected asymptomatic recovery rate,infected critical case rate,infected symptomatic recovery rate,infection rate,infection rate asymptomatic self,infection rate quarantined self,infection rate symptomatic self,init total population,isolated critical case rate,isolated recovery rate,isolation rate asymptomatic,isolation rate symptomatic,new cases,non controlled population,symptomatic rate,total infected,total infection rate
230.0,90.15302971705025,210359.97557655498,1044.4690201876429,484.87656102994305,0.0,4942963.743753115,2845057.7820594087,5260385.796272087,0.03998945775529091,0.375,0.03749999999999999,0.1875,15.0,5.409181783023015,3.6061211886820095,13730.454843758653,0.3170483944144981,65754.8142340493,52.223451009382146,9.697531220598862,87.27778098538974,176.26139608858188,143.05581106660446,0.0,33.20558502197741,8000001,0.0,0.0,0.0,0.0,104.44690201876429,7789550.871393741,104.44690201876429,1529.345581217586,176.26139608858188
231.0,90.8754229322194,210363.59564723325,1064.6070184172702,492.57961001942743,0.0,4929397.942796705,2858591.39950471,5260491.225020183,0.03998934446400985,0.375,0.03749999999999999,0.1875,15.0,5.452525375933163,3.635016917288776,13692.77206332418,0.31632663742684564,65756.13209323578,53.23035092086351,9.851592200388549,88.66432980349694,180.40130952275905,146.5077165627086,0.0,33.89359296005047,8000001,0.0,0.0,0.0,0.0,106.46070184172702,7789546.528929852,106.46070184172702,1557.1866284366977,180.40130952275905
232.0,91.68030329886632,210367.24623298226,1085.8878277174388,500.7645545978455,0.0,4915872.279321893,2872083.141759531,5260598.723412153,0.039989221245245045,0.375,0.03749999999999999,0.1875,15.0,5.500818197931979,3.6672121319546527,13655.200775894147,0.315610753924005,65757.47582296743,54.29439138587194,10.015291091956911,90.1376198276122,184.76112613197034,150.14169451887605,0.0,34.619431613094285,8000001,0.0,0.0,0.0,0.0,108.58878277174388,7789542.07346374,108.58878277174388,1586.6523823152843,184.76112613197034
233.0,92.56916844471226,210370.9306620365,1108.3615227743057,509.4499311325042,0.0,4902386.793497625,2885532.8952180063,5260708.408166499,0.03998908784517797,0.375,0.03749999999999999,0.1875,15.0,5.5541501066827355,3.7027667377884903,13617.741093048959,0.31490068258711307,65758.84688222538,55.418076138715286,10.188998622650086,91.70098760385076,189.35162554812797,153.96679361689826,0.0,35.384831931229726,8000001,0.0,0.0,0.0,0.0,110.83615227743057,7789537.500169538,110.83615227743057,1617.81145390681,189.35162554812797
234.0,93.54373903594137,210374.65232691175,1132.0815405961466,518.6556099150846,0.0,4888941.531508927,2898940.5352746365,5260820.401173079,0.03998894398295778,0.375,0.03749999999999999,0.1875,15.0,5.612624342156482,3.741749561437655,13580.393143080353,0.3141963635788154,65760.24679463265,56.60407702980733,10.373112198301692,93.35800978471522,194.1842849170162,157.9926461834551,0.0,36.191638733561106,8000001,0.0,0.0,0.0,0.0,113.20815405961466,7789532.803934075,113.20815405961466,1650.7371505112312,194.1842849170162
235.0,94.6059636224798,210378.41469341953,1157.104880811074,528.4028673340472,0.0,4875536.545972529,2912305.9256223068,5260934.829839062,0.039988789349792275,0.375,0.03749999999999999,0.1875,15.0,5.676357817348788,3.7842385448991926,13543.157072145914,0.31349773853934965,65761.67715277863,57.8552440405537,10.568057346680945,95.1125161201285,199.27132360053957,162.22950590952328,0.0,37.041817691016284,8000001,0.0,0.0,0.0,0.0,115.7104880811074,7789527.97934298,115.7104880811074,1685.5077481451212,199.27132360053957
236.0,95.75802445092663,210382.22130989324,1183.4923211204616,538.7144638177049,0.0,4862171.896375539,2925628.9175052023,5261051.827455672,0.03998862360792165,0.375,0.03749999999999999,0.1875,15.0,5.745481467055598,3.830320978037065,13506.033045487608,0.3128047505846092,65763.13962280346,59.17461605602308,10.774289276354098,96.96860348718688,204.62575117807864,166.68828834879093,0.0,37.93746282928771,8000001,0.0,0.0,0.0,0.0,118.34923211204617,7789523.020665679,118.34923211204617,1722.2067849381665,204.62575117807864
237.0,97.00234426643713,210386.07581666624,1211.3086489746884,549.6147279246321,0.0,4848847.649538964,2938909.348923225,5261171.533587261,0.039988446389471216,0.375,0.03749999999999999,0.1875,15.0,5.820140655986227,3.880093770657486,13469.021248719344,0.31211734430626276,65764.63594926127,60.56543244873442,10.992294558492642,98.93065102643378,210.2614189910243,171.38061440181437,0.0,38.88080458920994,8000001,0.0,0.0,0.0,0.0,121.13086489746884,7789517.921839088,121.13086489746884,1760.9233768993204,210.2614189910243
238.0,98.34159413030994,210389.98195584305,1240.6229106250191,561.1296469905062,0.0,4835563.880108066,2952147.043784364,5261294.094484387,0.03998825729517816,0.375,0.03749999999999999,0.1875,15.0,5.900495647818596,3.9336637652123985,13432.121889189071,0.3114354657740107,65766.16796028384,62.03114553125096,11.222592939810124,101.00333645829112,216.19307549404354,176.31885700913003,0.0,39.87421848491351,8000001,0.0,0.0,0.0,0.0,124.06229106250191,7789512.676450046,124.06229106250191,1801.7525576155253,216.19307549404354
239.0,99.77870228560174,210393.94358140253,1271.508678799266,573.2869647752183,0.0,4822320.6710716495,2965341.8110011057,5261419.663522711,0.039988055892986145,0.375,0.03749999999999999,0.1875,15.0,5.986722137136104,3.99114809142407,13395.33519742125,0.3107590625400735,65767.73757306668,63.5754339399633,11.465739295504367,103.1916536595393,222.43642569763566,181.51619129430514,0.0,40.92023440333052,8000001,0.0,0.0,0.0,0.0,127.1508678799266,7789507.277716329,127.1508678799266,1844.795643574484,222.43642569763566
240.0,101.31686410881936,210397.96466967728,1304.0443403499607,586.116286591358,0.0,4809118.11431252,2978493.443526768,5261548.401669625,0.03998784171650166,0.375,0.03749999999999999,0.1875,15.0,6.079011846529161,4.052674564352775,13358.66142864589,0.3100880836460013,65769.34679970196,65.20221701749804,11.722325731827159,105.50093158644442,229.00819500920744,186.98664841709538,0.0,42.021546592112045,8000001,0.0,0.0,0.0,0.0,130.4044340349961,7789501.71846623,130.4044340349961,1890.1606269413187,229.00819500920744
241.0,102.95955319165645,210402.04933025333,1338.3134053325884,599.6491924352488,0.0,4795956.311191548,2991601.717327251,5261680.477980697,0.0399876142633048,0.375,0.03749999999999999,0.1875,15.0,6.177573191499387,4.118382127666258,13322.100864420965,0.3094224796319238,65770.99775338398,66.91567026662942,11.992983848704977,107.93685463834478,235.92619780433517,192.74517341755922,0.0,43.18102438677596,8000001,0.0,0.0,0.0,0.0,133.83134053325884,7789495.991116567,133.83134053325884,1937.9625977678372,235.92619780433517
242.0,104.7105336028862,210406.20181733646,1374.40483908878,613.9193586847244,0.0,4782835.373167875,3004666.390283427,5261816.070128142,0.03998737299310662,0.375,0.03749999999999999,0.1875,15.0,6.282632016173172,4.188421344115449,13285.65381435521,0.3087622025483481,65772.6926550152,68.72024195443899,12.278387173694489,110.5054845632504,243.2094110862643,198.8076873543133,0.0,44.40172373195102,8000001,0.0,0.0,0.0,0.0,137.44048390887798,7789490.087649075,137.44048390887798,1988.3241977735042,243.2094110862643
